"","tconst","averageRating"
"1","tt0000574",6.3
"2","tt0002101",5.1
"3","tt0002130",7.1
"4","tt0002461",5.6
"5","tt0002544",6.3
"6","tt0002844",6.9
"7","tt0003014",7.2
"8","tt0003037",6.8
"9","tt0003165",6.9
"10","tt0003419",6.6
"11","tt0003471",6.1
"12","tt0003489",6.2
"13","tt0003643",6.9
"14","tt0003740",6.8
"15","tt0003772",6.6
"16","tt0003930",6.8
"17","tt0003952",6.9
"18","tt0004066",7.1
"19","tt0004134",6.6
"20","tt0004150",6
"21","tt0004181",7.3
"22","tt0004465",7.6
"23","tt0004635",6.2
"24","tt0004707",7.1
"25","tt0004712",6.2
"26","tt0004873",6.3
"27","tt0004972",6.7
"28","tt0005059",6.6
"29","tt0005060",6.9
"30","tt0005078",6.6
"31","tt0005084",6.4
"32","tt0005149",6.1
"33","tt0005339",5.9
"34","tt0005529",7.1
"35","tt0005557",6.5
"36","tt0005916",6.9
"37","tt0005960",7
"38","tt0006206",6.9
"39","tt0006333",7
"40","tt0006517",6.2
"41","tt0006589",7.2
"42","tt0006731",6.5
"43","tt0006745",6.5
"44","tt0006753",6.8
"45","tt0006780",6.8
"46","tt0006809",6.2
"47","tt0006826",6.7
"48","tt0006864",8
"49","tt0006886",6.7
"50","tt0006895",5.7
"51","tt0007183",7.1
"52","tt0007338",6.3
"53","tt0007361",6.2
"54","tt0007558",6.4
"55","tt0007610",5.7
"56","tt0008329",5.7
"57","tt0008395",7.1
"58","tt0008443",6.8
"59","tt0008536",7.1
"60","tt0008550",6.5
"61","tt0008634",6.2
"62","tt0008663",7.4
"63","tt0008710",6.9
"64","tt0008775",6.9
"65","tt0008827",6.6
"66","tt0008879",7.2
"67","tt0008891",7
"68","tt0008950",6.3
"69","tt0009062",6.2
"70","tt0009369",7
"71","tt0009440",6.6
"72","tt0009611",6.9
"73","tt0009652",7.4
"74","tt0009796",6.6
"75","tt0009878",6.9
"76","tt0009893",7.2
"77","tt0009937",6.9
"78","tt0009968",7.6
"79","tt0009976",6.5
"80","tt0010040",7.5
"81","tt0010060",6.8
"82","tt0010071",7.7
"83","tt0010195",7
"84","tt0010208",5.6
"85","tt0010247",7.2
"86","tt0010267",6.9
"87","tt0010281",7.1
"88","tt0010307",7.4
"89","tt0010323",8.1
"90","tt0010418",7.9
"91","tt0010726",6.6
"92","tt0010806",7.2
"93","tt0010821",6.2
"94","tt0011000",6.8
"95","tt0011130",7
"96","tt0011157",6.7
"97","tt0011193",6.6
"98","tt0011237",7.2
"99","tt0011358",6.6
"100","tt0011362",7.1
"101","tt0011370",7.1
"102","tt0011387",6.9
"103","tt0011401",6.1
"104","tt0011439",7.2
"105","tt0011565",7.5
"106","tt0011652",6.2
"107","tt0011723",6.5
"108","tt0011833",7.1
"109","tt0011841",7.9
"110","tt0011865",7.8
"111","tt0011870",6.4
"112","tt0011904",6.9
"113","tt0011908",6.6
"114","tt0011909",7.8
"115","tt0011960",7.1
"116","tt0011979",6.9
"117","tt0012027",6.6
"118","tt0012136",7
"119","tt0012190",7.9
"120","tt0012281",6.8
"121","tt0012349",8.3
"122","tt0012364",8.1
"123","tt0012408",6.7
"124","tt0012465",7.2
"125","tt0012486",6.1
"126","tt0012494",7.7
"127","tt0012532",7.8
"128","tt0012645",6.9
"129","tt0012651",6.3
"130","tt0012675",7.2
"131","tt0012752",7
"132","tt0012763",7.9
"133","tt0012881",8.2
"134","tt0012938",7.7
"135","tt0012952",7.2
"136","tt0013059",6.5
"137","tt0013075",7.2
"138","tt0013086",7.9
"139","tt0013134",6.6
"140","tt0013140",7.3
"141","tt0013201",7.1
"142","tt0013257",7.7
"143","tt0013367",5.5
"144","tt0013372",7.4
"145","tt0013386",6.8
"146","tt0013427",7.7
"147","tt0013442",8
"148","tt0013496",7
"149","tt0013501",7.1
"150","tt0013556",7.6
"151","tt0013571",6.6
"152","tt0013579",7
