"","tconst","movielensid","primaryTitle","startYear","runtimeMinutes"
"1","tt0000574",170573,"the story of the kelly gang",1906,"70"
"2","tt0002101",170479,"cleopatra",1912,"100"
"3","tt0002130",116578,"dante's inferno",1911,"68"
"4","tt0002461",89323,"the life and death of king richard iii",1912,"55"
"5","tt0002544",126989,"trädgårdsmästaren",1912,"\N"
"6","tt0002844",100946,"fantômas: in the shadow of the guillotine",1913,"54"
"7","tt0003014",82007,"ingeborg holm",1913,"96"
"8","tt0003037",128003,"fantômas: juve versus fantômas",1913,"61"
"9","tt0003165",128005,"fantômas: the dead man who killed",1913,"90"
"10","tt0003419",86518,"the student of prague",1913,"85"
"11","tt0003471",135706,"traffic in souls",1913,"88"
"12","tt0003489",90339,"the last days of pompeii",1913,"88"
"13","tt0003643",66284,"the avenging conscience: or 'thou shalt not kill'",1914,"78"
"14","tt0003740",74097,"cabiria",1914,"148"
"15","tt0003772",111901,"cinderella",1914,"52"
"16","tt0003930",128007,"fantomas: the mysterious finger print",1914,"59"
"17","tt0003952",128009,"fantômas: the false magistrate",1914,"70"
"18","tt0004066",92883,"the mysterious x",1914,"84"
"19","tt0004134",103424,"hypocrites",1915,"54"
"20","tt0004150",146497,"in the land of the head hunters",1914,"65"
"21","tt0004181",84852,"judith of bethulia",1914,"61"
"22","tt0004465",86471,"the perils of pauline",1914,"199"
"23","tt0004635",80725,"the squaw man",1914,"74"
"24","tt0004707",76758,"tillie's punctured romance",1914,"82"
"25","tt0004712",156815,"the undesirable",1915,"67"
"26","tt0004873",142094,"alice in wonderland",1915,"52"
"27","tt0004972",7065,"the birth of a nation",1915,"195"
"28","tt0005059",168578,"the captive",1915,"50"
"29","tt0005060",142523,"carmen",1915,"59"
"30","tt0005078",25735,"the cheat",1915,"59"
"31","tt0005084",145964,"children of eve",1915,"73"
"32","tt0005149",133624,"the coward",1915,"77"
"33","tt0005339",113223,"a fool there was",1915,"67"
"34","tt0005529",91503,"blind justice",1916,"100"
"35","tt0005557",141743,"the italian",1915,"78"
"36","tt0005916",73056,"after death",1915,"46"
"37","tt0005960",92132,"regeneration",1915,"72"
"38","tt0006206",69509,"les vampires",1915,"421"
"39","tt0006333",62383,"20,000 leagues under the sea",1916,"105"
"40","tt0006517",135559,"civilization",1915,"78"
"41","tt0006589",145962,"the devil's needle",1916,"59"
"42","tt0006731",121415,"going straight",1916,"60"
