,nconst,primaryName
1,nm0000001,Fred Astaire
2,nm0000002,Lauren Bacall
3,nm0000003,Brigitte Bardot
4,nm0000005,Ingmar Bergman
5,nm0000006,Ingrid Bergman
6,nm0000007,Humphrey Bogart
7,nm0000008,Marlon Brando
8,nm0000009,Richard Burton
9,nm0000010,James Cagney
10,nm0000011,Gary Cooper
11,nm0000012,Bette Davis
12,nm0000013,Doris Day
13,nm0000014,Olivia de Havilland
14,nm0000015,James Dean
15,nm0000017,Marlene Dietrich
16,nm0000018,Kirk Douglas
17,nm0000019,Federico Fellini
18,nm0000020,Henry Fonda
19,nm0000021,Joan Fontaine
20,nm0000022,Clark Gable
21,nm0000023,Judy Garland
22,nm0000024,John Gielgud
23,nm0000026,Cary Grant
24,nm0000027,Alec Guinness
25,nm0000028,Rita Hayworth
26,nm0000029,Margaux Hemingway
27,nm0000030,Audrey Hepburn
28,nm0000031,Katharine Hepburn
29,nm0000032,Charlton Heston
30,nm0000033,Alfred Hitchcock
31,nm0000034,William Holden
32,nm0000036,Buster Keaton
33,nm0000037,Gene Kelly
34,nm0000038,Grace Kelly
35,nm0000039,Deborah Kerr
36,nm0000040,Stanley Kubrick
37,nm0000041,Akira Kurosawa
38,nm0000042,Alan Ladd
39,nm0000043,Veronica Lake
40,nm0000044,Burt Lancaster
41,nm0000045,Bruce Lee
42,nm0000046,Vivien Leigh
43,nm0000047,Sophia Loren
44,nm0000048,Peter Lorre
45,nm0000050,Groucho Marx
46,nm0000051,James Mason
47,nm0000052,Marcello Mastroianni
48,nm0000053,Robert Mitchum
49,nm0000054,Marilyn Monroe
50,nm0000056,Paul Newman
51,nm0000057,David Niven
52,nm0000058,Maureen O'Hara
53,nm0000059,Laurence Olivier
54,nm0000060,Gregory Peck
55,nm0000061,Tyrone Power
56,nm0000062,Elvis Presley
57,nm0000063,Anthony Quinn
58,nm0000064,Edward G. Robinson
59,nm0000066,Jane Russell
60,nm0000068,Randolph Scott
61,nm0000069,Frank Sinatra
62,nm0000071,James Stewart
63,nm0000072,Elizabeth Taylor
64,nm0000073,Shirley Temple
65,nm0000074,Gene Tierney
66,nm0000075,Spencer Tracy
67,nm0000076,François Truffaut
68,nm0000078,John Wayne
69,nm0000079,Raquel Welch
70,nm0000080,Orson Welles
71,nm0000081,Natalie Wood
72,nm0000084,Li Gong
73,nm0000086,Louis de Funès
74,nm0000088,Aleksey Korenev
75,nm0000090,Armin Mueller-Stahl
76,nm0000091,Gérard Pirès
77,nm0000092,John Cleese
78,nm0000093,Brad Pitt
79,nm0000095,Woody Allen
80,nm0000096,Gillian Anderson
81,nm0000097,Pamela Anderson
82,nm0000098,Jennifer Aniston
83,nm0000100,Rowan Atkinson
84,nm0000101,Dan Aykroyd
85,nm0000102,Kevin Bacon
86,nm0000104,Antonio Banderas
87,nm0000105,Adrienne Barbeau
88,nm0000106,Drew Barrymore
89,nm0000107,Kim Basinger
90,nm0000108,Luc Besson
91,nm0000110,Kenneth Branagh
92,nm0000111,Matthew Broderick
93,nm0000112,Pierce Brosnan
94,nm0000113,Sandra Bullock
95,nm0000114,Steve Buscemi
