"","tconst","directors"
"1","tt0000574","nm0846879"
"2","tt0002101","nm0309130"
"3","tt0002130","nm0209738"
"4","tt0002130","nm0078205"
"5","tt0002130","nm0655824"
"6","tt0002461","nm0130633"
"7","tt0002461","nm0443857"
"8","tt0002544","nm0803705"
"9","tt0002844","nm0275421"
"10","tt0003014","nm0803705"
"11","tt0003037","nm0275421"
"12","tt0003165","nm0275421"
"13","tt0003419","nm0917467"
"14","tt0003419","nm0753233"
"15","tt0003471","nm0875869"
"16","tt0003489","nm0143333"
"17","tt0003489","nm0734958"
"18","tt0003643","nm0000428"
"19","tt0003740","nm0665163"
"20","tt0003772","nm0456804"
"21","tt0003930","nm0275421"
"22","tt0003952","nm0275421"
"23","tt0004066","nm0159725"
"24","tt0004134","nm0916665"
"25","tt0004150","nm0193327"
"26","tt0004181","nm0000428"
"27","tt0004465","nm0533289"
"28","tt0004465","nm0309163"
"29","tt0004635","nm0001124"
"30","tt0004635","nm0002177"
"31","tt0004707","nm0784407"
"32","tt0004707","nm0071658"
"33","tt0004712","nm0002031"
"34","tt0004873","nm0950148"
"35","tt0004972","nm0000428"
"36","tt0005059","nm0001124"
"37","tt0005060","nm0001124"
"38","tt0005078","nm0001124"
"39","tt0005084","nm0172413"
"40","tt0005149","nm0054977"
"41","tt0005149","nm0408436"
"42","tt0005339","nm0288616"
"43","tt0005529","nm0159725"
"44","tt0005557","nm0054977"
"45","tt0005916","nm0061955"
"46","tt0005960","nm0909825"
"47","tt0006206","nm0275421"
"48","tt0006333","nm0665737"
"49","tt0006517","nm0713787"
"50","tt0006517","nm0054977"
"51","tt0006517","nm0408436"
"52","tt0006517","nm0922304"
"53","tt0006517","nm0250445"
"54","tt0006517","nm0366689"
"55","tt0006517","nm0402489"
"56","tt0006589","nm0936767"
"57","tt0006731","nm0291387"
"58","tt0006731","nm0291548"
"59","tt0006745","nm0291387"
"60","tt0006745","nm0291548"
"61","tt0006753","nm0245385"
"62","tt0006780","nm0842521"
"63","tt0006780","nm0807742"
"64","tt0006780","nm0366586"
"65","tt0006809","nm0256221"
"66","tt0006826","nm0408937"
"67","tt0006864","nm0000428"
"68","tt0006886","nm0275421"
"69","tt0006895","nm0911959"
"70","tt0007183","nm0698839"
"71","tt0007338","nm0077928"
"72","tt0007361","nm0205986"
"73","tt0007558","nm0916665"
"74","tt0007558","nm0806565"
"75","tt0007610","nm0049995"
"76","tt0008329","nm0730170"
"77","tt0008395","nm0698839"
"78","tt0008395","nm0901502"
"79","tt0008443","nm0869665"
"80","tt0008536","nm0698839"
"81","tt0008550","nm0210352"
"82","tt0008634","nm0000406"
"83","tt0008663","nm0803705"
"84","tt0008710","nm0803705"
"85","tt0008775","nm0256221"
"86","tt0008827","nm0624714"
"87","tt0008879","nm0803705"
"88","tt0008891","nm0869665"
"89","tt0008950","nm0523932"
"90","tt0009062","nm0523932"
"91","tt0009369","nm0949648"
"92","tt0009369","nm0428059"
"93","tt0009440","nm0001124"
"94","tt0009611","nm0000122"
"95","tt0009652","nm0624714"
"96","tt0009796","nm0001124"
"97","tt0009878","nm0652650"
"98","tt0009893","nm0523932"
"99","tt0009937","nm0002233"
"100","tt0009968","nm0000428"
"101","tt0009976","nm0832584"
"102","tt0010040","nm0624714"
"103","tt0010060","nm0502752"
"104","tt0010071","nm0001124"
"105","tt0010195","nm0929649"
"106","tt0010208","nm0000485"
"107","tt0010247","nm0830249"
"108","tt0010267","nm0291548"
"109","tt0010281","nm0523932"
"110","tt0010307","nm0304098"
"111","tt0010323","nm0927468"
"112","tt0010418","nm0001124"
"113","tt0010726","nm0000485"
"114","tt0010806","nm0000428"
"115","tt0010821","nm0652650"
"116","tt0011000","nm0003433"
"117","tt0011130","nm0731910"
"118","tt0011157","nm0830249"
"119","tt0011193","nm0189076"
"120","tt0011237","nm0091380"
"121","tt0011237","nm0917467"
"122","tt0011358","nm0000406"
"123","tt0011362","nm0803705"
"124","tt0011370","nm0803705"
"125","tt0011387","nm0113284"
"126","tt0011387","nm0869665"
"127","tt0011401","nm0376221"
"128","tt0011439","nm0629243"
"129","tt0011565","nm0941637"
"130","tt0011652","nm0085133"
"131","tt0011652","nm0810367"
"132","tt0011723","nm0000485"
"133","tt0011833","nm0552609"
"134","tt0011841","nm0000428"
"135","tt0011865","nm0001124"
"136","tt0011870","nm0584778"
"137","tt0011904","nm0941637"
"138","tt0011908","nm0384616"
"139","tt0011908","nm0796657"
"140","tt0011909","nm0001124"
"141","tt0011960","nm0523932"
"142","tt0011979","nm0916665"
"143","tt0012027","nm0806605"
"144","tt0012136","nm0897085"
"145","tt0012190","nm0002271"
"146","tt0012281","nm0501902"
"147","tt0012281","nm0422226"
"148","tt0012349","nm0000122"
"149","tt0012364","nm0803705"
"150","tt0012408","nm0547966"
"151","tt0012465","nm0210352"
"152","tt0012486","nm0042317"
"153","tt0012486","nm0373511"
"154","tt0012494","nm0000485"
"155","tt0012532","nm0000428"
"156","tt0012645","nm0118266"
"157","tt0012651","nm0003638"
"158","tt0012675","nm0577654"
"159","tt0012752","nm0629243"
"160","tt0012763","nm0454771"
"161","tt0012881","nm0384616"
"162","tt0012938","nm0939992"
"163","tt0012952","nm0629243"
"164","tt0012952","nm0002188"
"165","tt0013059","nm0003433"
"166","tt0013075","nm0628345"
"167","tt0013075","nm0853130"
"168","tt0013086","nm0000485"
"169","tt0013134","nm0191899"
"170","tt0013140","nm0002233"
"171","tt0013201","nm0628345"
"172","tt0013257","nm0159725"
"173","tt0013367","nm0454535"
"174","tt0013372","nm0001124"
"175","tt0013386","nm0002233"
"176","tt0013386","nm0432216"
"177","tt0013427","nm0280904"
"178","tt0013442","nm0003638"
"179","tt0013496","nm0003638"
"180","tt0013501","nm0762780"
"181","tt0013556","nm0245385"
"182","tt0013571","nm0117065"
"183","tt0013571","nm0623417"
"184","tt0013579","nm0733208"
"185","tt0013597","nm0662032"
"186","tt0013626","nm0241273"
"187","tt0013662","nm0731910"
"188","tt0013674","nm0511729"
"189","tt0013688","nm0291387"
"190","tt0013741","nm0523932"
"191","tt0013802","nm0005847"
"192","tt0014029","nm0428059"
"193","tt0014109","nm0830249"
"194","tt0014142","nm0941637"
"195","tt0014341","nm0090007"
"196","tt0014341","nm0000036"
"197","tt0014358","nm0000122"
"198","tt0014417","nm0304098"
"199","tt0014429","nm0628345"
"200","tt0014429","nm0853130"
"201","tt0014440","nm0002271"
"202","tt0014446","nm0655065"
"203","tt0014497","nm0400912"
"204","tt0014524","nm0681726"
"205","tt0014532","nm0001124"
"206","tt0014538","nm0000036"
"207","tt0014538","nm0166836"
"208","tt0014586","nm0501902"
"209","tt0014586","nm0083532"
"210","tt0014605","nm0454771"
"211","tt0014611","nm0628345"
"212","tt0014611","nm0853130"
"213","tt0014624","nm0000122"
"214","tt0014646","nm0698839"
"215","tt0014672","nm0000428"
"216","tt0014702","nm0064600"
"217","tt0014760","nm0166836"
"218","tt0014770","nm0600580"
"219","tt0014900","nm0003638"
"220","tt0014945","nm0628345"
"221","tt0014945","nm0853130"
"222","tt0014972","nm0803705"
"223","tt0015002","nm0628345"
"224","tt0015002","nm0853130"
"225","tt0015014","nm0478303"
"226","tt0015016","nm0000406"
"227","tt0015036","nm0901502"
"228","tt0015039","nm0895048"
"229","tt0015064","nm0003638"
"230","tt0015119","nm0523932"
"231","tt0015136","nm0003433"
"232","tt0015152","nm0882795"
"233","tt0015163","nm0000036"
"234","tt0015163","nm0187981"
"235","tt0015167","nm0474487"
"236","tt0015174","nm0000485"
"237","tt0015175","nm0000485"
"238","tt0015202","nm0927468"
"239","tt0015213","nm0770703"
"240","tt0015224","nm0107543"
"241","tt0015268","nm0629243"
"242","tt0015310","nm0515979"
"243","tt0015324","nm0000036"
"244","tt0015361","nm0001178"
"245","tt0015400","nm0909825"
"246","tt0015493","nm0194031"
"247","tt0015498","nm0896542"
"248","tt0015532","nm0002569"
"249","tt0015532","nm0718201"
"250","tt0015589","nm0694260"
"251","tt0015624","nm0384276"
"252","tt0015624","nm0896542"
"253","tt0015634","nm0584778"
"254","tt0015648","nm0001178"
"255","tt0015684","nm0097648"
"256","tt0015687","nm0809467"
"257","tt0015693","nm0376221"
"258","tt0015758","nm0187981"
"259","tt0015768","nm0003433"
"260","tt0015801","nm0478303"
"261","tt0015841","nm0628345"
"262","tt0015841","nm0853130"
"263","tt0015842","nm0655065"
"264","tt0015863","nm0000036"
"265","tt0015864","nm0000122"
"266","tt0015873","nm0774325"
"267","tt0015873","nm0178260"
"268","tt0015881","nm0002233"
"269","tt0016004","nm0523932"
"270","tt0016013","nm0097648"
"271","tt0016022","nm0000406"
"272","tt0016029","nm0124877"
"273","tt0016039","nm0398464"
"274","tt0016104","nm0002233"
"275","tt0016123","nm0922327"
"276","tt0016201","nm0309163"
"277","tt0016220","nm0151606"
"278","tt0016220","nm0480677"
"279","tt0016220","nm0432216"
"280","tt0016220","nm0781292"
"281","tt0016226","nm0749484"
"282","tt0016230","nm0000033"
"283","tt0016232","nm0245213"
"284","tt0016258","nm0166836"
"285","tt0016276","nm0485943"
"286","tt0016276","nm0202590"
"287","tt0016310","nm0903049"
"288","tt0016332","nm0000036"
"289","tt0016392","nm0107713"
"290","tt0016394","nm0245385"
"291","tt0016473","nm0115218"
"292","tt0016480","nm0782707"
"293","tt0016481","nm0243295"
"294","tt0016493","nm0163229"
"295","tt0016544","nm0783865"
"296","tt0016627","nm0896542"
"297","tt0016629","nm0922327"
"298","tt0016630","nm0000036"
"299","tt0016634","nm0107543"
"300","tt0016640","nm0949648"
"301","tt0016641","nm0169905"
"302","tt0016641","nm0002271"
"303","tt0016641","nm0127511"
"304","tt0016641","nm0102643"
"305","tt0016641","nm0629243"
"306","tt0016654","nm0662032"
"307","tt0016655","nm0115218"
"308","tt0016669","nm0896542"
"309","tt0016672","nm0920074"
"310","tt0016690","nm0176699"
"311","tt0016691","nm0106950"
"312","tt0016804","nm0189076"
"313","tt0016822","nm0337586"
"314","tt0016829","nm0624714"
"315","tt0016832","nm0853130"
"316","tt0016847","nm0003638"
"317","tt0016884","nm0113284"
"318","tt0016895","nm0853130"
"319","tt0016914","nm0655065"
"320","tt0016938","nm0107543"
"321","tt0016939","nm0782597"
"322","tt0016953","nm0266691"
"323","tt0017029","nm0113284"
"324","tt0017048","nm0455938"
"325","tt0017075","nm0000033"
"326","tt0017103","nm0002271"
"327","tt0017119","nm0281808"
"328","tt0017120","nm0002271"
"329","tt0017128","nm0699877"
"330","tt0017136","nm0000485"
"331","tt0017162","nm0280904"
"332","tt0017162","nm0280878"
