"","tconst","m1","m2","m3","m4"
"1","tt0002844","m","the good, the bad and the ugly","once upon a time in the west","aliens"
"2","tt0003037","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"3","tt0003643","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"4","tt0004066","citizen kane","sunset boulevard","rear window","the umbrellas of cherbourg"
"5","tt0004707","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"6","tt0004972","battleship potemkin","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"7","tt0005960","pinocchio","pather panchali","the world of apu","blade runner"
"8","tt0006206","dr. strangelove or: how i learned to stop worrying and love the bomb","playtime","2001: a space odyssey","once upon a time in the west"
"9","tt0006333","20,000 leagues under the sea","12 angry men","2001: a space odyssey","blade runner"
"10","tt0006864","citizen kane","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"11","tt0007338","snow white and the seven dwarfs","belle de jour","blade runner","batman"
"12","tt0007361","the princess bride","the departed","the dark knight","up"
"13","tt0008443","the philadelphia story","pinocchio","dr. strangelove or: how i learned to stop worrying and love the bomb","faster, pussycat! kill! kill!"
"14","tt0008663","the last laugh","psycho","2001: a space odyssey","the french connection"
"15","tt0008879","sunrise","the passion of joan of arc","rear window","the good, the bad and the ugly"
"16","tt0009611","singin' in the rain","rear window","north by northwest","some like it hot"
"17","tt0009878","dr. strangelove or: how i learned to stop worrying and love the bomb","the graduate","the producers","the outsiders"
"18","tt0009968","the general","citizen kane","rear window","vertigo"
"19","tt0010040","gone with the wind","casablanca","some like it hot","my fair lady"
"20","tt0010208","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"21","tt0010323","citizen kane","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"22","tt0010418","snow white and the seven dwarfs","the philadelphia story","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch"
"23","tt0010726","the philadelphia story","citizen kane","the third man","north by northwest"
"24","tt0010821","modern times","dr. strangelove or: how i learned to stop worrying and love the bomb","the graduate","the producers"
"25","tt0011130","citizen kane","2001: a space odyssey","blade runner","brazil"
"26","tt0011237","nosferatu","citizen kane","2001: a space odyssey","blade runner"
"27","tt0011387","star wars: episode vi - return of the jedi","aliens","predator","the dark knight"
"28","tt0011439","it happened one night","the philadelphia story","fistful of dollars","district b13"
"29","tt0011652","sunset boulevard","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch","blade runner"
"30","tt0011841","citizen kane","sunset boulevard","singin' in the rain","seven samurai"
"31","tt0011870","rear window","pather panchali","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"32","tt0011904","sunset boulevard","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch","blade runner"
"33","tt0011960","singin' in the rain","brazil","evil dead ii","the princess bride"
"34","tt0012349","city lights","modern times","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"35","tt0012364","12 angry men","psycho","the good, the bad and the ugly","2001: a space odyssey"
"36","tt0012494","citizen kane","paths of glory","touch of evil","2001: a space odyssey"
"37","tt0012532","casablanca","it's a wonderful life","rear window","lawrence of arabia"
"38","tt0012675","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"39","tt0012752","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"40","tt0012763","the philadelphia story","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"41","tt0013059","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"42","tt0013086","m","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"43","tt0013140","sunrise","the passion of joan of arc","m","vertigo"
"44","tt0013201","rear window","pather panchali","vertigo","the world of apu"
"45","tt0013257","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner"
"46","tt0013427","citizen kane","bicycle thieves","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"47","tt0013442","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner"
"48","tt0013496","all about eve","sunset boulevard","the apartment","dr. strangelove or: how i learned to stop worrying and love the bomb"
"49","tt0013556","the adventures of robin hood","seven samurai","the terminator","the princess bride"
"50","tt0013571","m","the good, the bad and the ugly","harold and maude","stand by me"
"51","tt0013626","pinocchio","belle de jour","the wild bunch","blade runner"
"52","tt0014109","around the world in 80 days","eyes without a face","blade runner","brazil"
"53","tt0014142","modern times","casablanca","it's a wonderful life","seven samurai"
"54","tt0014341","the general","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"55","tt0014358","singin' in the rain","rear window","north by northwest","blade runner"
"56","tt0014417","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"57","tt0014429","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"58","tt0014532","high noon","the good, the bad and the ugly","2001: a space odyssey","blade runner"
"59","tt0014538","the gold rush","the general","duck soup","casablanca"
"60","tt0014624","the kid","rear window","north by northwest","some like it hot"
"61","tt0014646","casablanca","the seventh seal","2001: a space odyssey","once upon a time in the west"
"62","tt0014945","it happened one night","mr. smith goes to washington","citizen kane","it's a wonderful life"
"63","tt0014972","metropolis","m","casablanca","vertigo"
"64","tt0015016","the good, the bad and the ugly","hang 'em high","butch cassidy and the sundance kid","once upon a time in the west"
"65","tt0015064","m","citizen kane","sunset boulevard","dr. strangelove or: how i learned to stop worrying and love the bomb"
"66","tt0015119","the philadelphia story","pinocchio","dr. strangelove or: how i learned to stop worrying and love the bomb","faster, pussycat! kill! kill!"
"67","tt0015136","vertigo","rosemary's baby","a clockwork orange","black swan"
"68","tt0015163","the general","citizen kane","the third man","dr. strangelove or: how i learned to stop worrying and love the bomb"
"69","tt0015167","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch","blade runner"
"70","tt0015174","die nibelungen: siegfried","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"71","tt0015175","citizen kane","seven samurai","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"72","tt0015202","seven samurai","the seventh seal","psycho","2001: a space odyssey"
"73","tt0015224","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"74","tt0015310","snow white and the seven dwarfs","the philadelphia story","pinocchio","blade runner"
"75","tt0015324","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"76","tt0015361","battleship potemkin","citizen kane","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"77","tt0015400","citizen kane","seven samurai","blade runner","the princess bride"
"78","tt0015532","metropolis","dr. strangelove or: how i learned to stop worrying and love the bomb","my neighbor totoro","spirited away"
"79","tt0015624","bicycle thieves","sunset boulevard","seven samurai","north by northwest"
"80","tt0015648","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"81","tt0015693","the shaggy dog","a christmas story","top gun","die hard"
"82","tt0015758","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"83","tt0015841","the wizard of oz","citizen kane","it's a wonderful life","north by northwest"
"84","tt0015863","the general","duck soup","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb"
"85","tt0015864","modern times","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"86","tt0015873","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"87","tt0015881","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"88","tt0016013","the world of apu","dr. strangelove or: how i learned to stop worrying and love the bomb","belle de jour","faces"
"89","tt0016029","it happened one night","the wizard of oz","the philadelphia story","it's a wonderful life"
"90","tt0016039","the wizard of oz","2001: a space odyssey","star wars: episode vi - return of the jedi","back to the future"
"91","tt0016104","gone with the wind","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"92","tt0016220","the wizard of oz","citizen kane","sunset boulevard","psycho"
"93","tt0016230","citizen kane","west side story","avatar","dear zachary: a letter to a son about his father"
"94","tt0016332","the general","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"95","tt0016473","the cabinet of dr. caligari","the 400 blows","knife in the water","rosemary's baby"
"96","tt0016481","double indemnity","meet me in st. louis","the umbrellas of cherbourg","cabaret"
"97","tt0016544","the wizard of oz","finding nemo","batman begins","the dark knight"
