"","tconst","genres.y"
"1","tt0000574","Biography"
"2","tt0000574","Crime"
"3","tt0000574","Drama"
"4","tt0002101","Drama"
"5","tt0002101","History"
"6","tt0002130","Adventure"
"7","tt0002130","Drama"
"8","tt0002130","Fantasy"
"9","tt0002461","Drama"
"10","tt0002544","Drama"
"11","tt0002844","Crime"
"12","tt0002844","Drama"
"13","tt0003014","Drama"
"14","tt0003037","Crime"
"15","tt0003037","Drama"
"16","tt0003165","Crime"
"17","tt0003165","Drama"
"18","tt0003165","Mystery"
"19","tt0003419","Drama"
"20","tt0003419","Fantasy"
"21","tt0003419","Horror"
"22","tt0003471","Crime"
"23","tt0003471","Drama"
"24","tt0003489","Adventure"
"25","tt0003489","Drama"
"26","tt0003643","Crime"
"27","tt0003643","Drama"
"28","tt0003643","Horror"
"29","tt0003740","Adventure"
"30","tt0003740","Drama"
"31","tt0003740","History"
"32","tt0003772","Drama"
"33","tt0003772","Fantasy"
"34","tt0003930","Crime"
"35","tt0003930","Drama"
"36","tt0003952","Crime"
"37","tt0003952","Drama"
"38","tt0004066","Drama"
"39","tt0004066","Mystery"
"40","tt0004134","Drama"
"41","tt0004150","Drama"
"42","tt0004150","History"
"43","tt0004181","Drama"
"44","tt0004465","Action"
"45","tt0004465","Adventure"
"46","tt0004465","Drama"
"47","tt0004635","Action"
"48","tt0004635","Drama"
"49","tt0004635","Romance"
"50","tt0004707","Comedy"
"51","tt0004712","Drama"
"52","tt0004873","Adventure"
"53","tt0004873","Family"
"54","tt0004873","Fantasy"
"55","tt0004972","Drama"
"56","tt0004972","History"
"57","tt0004972","War"
"58","tt0005059","Drama"
"59","tt0005059","Romance"
"60","tt0005059","War"
"61","tt0005060","Drama"
"62","tt0005078","Drama"
"63","tt0005084","Drama"
"64","tt0005149","Drama"
"65","tt0005149","History"
"66","tt0005149","War"
"67","tt0005339","Drama"
"68","tt0005529","Crime"
"69","tt0005529","Drama"
"70","tt0005529","Horror"
"71","tt0005557","Drama"
"72","tt0005916","Drama"
"73","tt0005960","Biography"
"74","tt0005960","Crime"
"75","tt0005960","Drama"
"76","tt0006206","Action"
"77","tt0006206","Adventure"
"78","tt0006206","Crime"
"79","tt0006333","Action"
"80","tt0006333","Adventure"
"81","tt0006333","Sci-Fi"
"82","tt0006517","Drama"
"83","tt0006589","Drama"
"84","tt0006731","Crime"
"85","tt0006731","Drama"
"86","tt0006745","Crime"
"87","tt0006745","Drama"
"88","tt0006745","Romance"
"89","tt0006753","Western"
"90","tt0006780","Romance"
"91","tt0006780","Western"
"92","tt0006809","Comedy"
"93","tt0006826","Comedy"
"94","tt0006826","Drama"
"95","tt0006826","Romance"
"96","tt0006864","Drama"
"97","tt0006864","History"
"98","tt0006886","Adventure"
"99","tt0006886","Crime"
"100","tt0006895","Drama"
"101","tt0007183","Drama"
"102","tt0007183","Fantasy"
"103","tt0007183","Horror"
"104","tt0007338","Mystery"
"105","tt0007361","Fantasy"
"106","tt0007361","Romance"
"107","tt0007558","Drama"
"108","tt0007610","Western"
"109","tt0008329","Drama"
"110","tt0008395","Biography"
"111","tt0008395","Drama"
"112","tt0008395","History"
"113","tt0008443","Comedy"
"114","tt0008443","Drama"
"115","tt0008443","Family"
"116","tt0008536","Drama"
"117","tt0008536","Horror"
"118","tt0008550","Drama"
"119","tt0008634","Western"
"120","tt0008663","Drama"
"121","tt0008663","War"
"122","tt0008710","Drama"
"123","tt0008775","Comedy"
"124","tt0008775","Romance"
"125","tt0008775","Western"
"126","tt0008827","Comedy"
"127","tt0008827","Romance"
"128","tt0008879","Drama"
"129","tt0008891","Fantasy"
"130","tt0008950","Drama"
"131","tt0009062","Comedy"
"132","tt0009369","Comedy"
"133","tt0009369","Drama"
"134","tt0009440","Drama"
"135","tt0009611","Comedy"
"136","tt0009611","War"
"137","tt0009652","Drama"
"138","tt0009796","Drama"
"139","tt0009878","Crime"
"140","tt0009878","Drama"
"141","tt0009878","History"
"142","tt0009893","Comedy"
"143","tt0009937","Drama"
"144","tt0009937","Romance"
"145","tt0009968","Drama"
"146","tt0009968","Romance"
"147","tt0009976","Drama"
"148","tt0009976","Sport"
"149","tt0010040","Comedy"
"150","tt0010040","Drama"
"151","tt0010060","Comedy"
"152","tt0010060","Drama"
"153","tt0010071","Comedy"
"154","tt0010195","Adventure"
"155","tt0010195","Drama"
"156","tt0010208","Drama"
"157","tt0010247","Drama"
"158","tt0010247","History"
"159","tt0010267","Comedy"
"160","tt0010281","Comedy"
"161","tt0010281","Romance"
"162","tt0010307","Drama"
"163","tt0010307","Horror"
"164","tt0010307","War"
"165","tt0010323","Fantasy"
"166","tt0010323","Horror"
"167","tt0010323","Mystery"
"168","tt0010418","Adventure"
"169","tt0010418","Drama"
