"","tconst","genres.y"
"1","tt0000574","biography"
"2","tt0000574","crime"
"3","tt0000574","drama"
"4","tt0002101","drama"
"5","tt0002101","history"
"6","tt0002130","adventure"
"7","tt0002130","drama"
"8","tt0002130","fantasy"
"9","tt0002461","drama"
"10","tt0002544","drama"
"11","tt0002844","crime"
"12","tt0002844","drama"
"13","tt0003014","drama"
"14","tt0003037","crime"
"15","tt0003037","drama"
"16","tt0003165","crime"
"17","tt0003165","drama"
"18","tt0003165","mystery"
"19","tt0003419","drama"
"20","tt0003419","fantasy"
"21","tt0003419","horror"
"22","tt0003471","crime"
"23","tt0003471","drama"
"24","tt0003489","adventure"
"25","tt0003489","drama"
"26","tt0003643","crime"
"27","tt0003643","drama"
"28","tt0003643","horror"
"29","tt0003740","adventure"
"30","tt0003740","drama"
"31","tt0003740","history"
"32","tt0003772","drama"
"33","tt0003772","fantasy"
"34","tt0003930","crime"
"35","tt0003930","drama"
"36","tt0003952","crime"
"37","tt0003952","drama"
"38","tt0004066","drama"
"39","tt0004066","mystery"
"40","tt0004134","drama"
"41","tt0004150","drama"
"42","tt0004150","history"
"43","tt0004181","drama"
"44","tt0004465","action"
"45","tt0004465","adventure"
"46","tt0004465","drama"
"47","tt0004635","action"
"48","tt0004635","drama"
"49","tt0004635","romance"
"50","tt0004707","comedy"
"51","tt0004712","drama"
"52","tt0004873","adventure"
"53","tt0004873","family"
"54","tt0004873","fantasy"
"55","tt0004972","drama"
"56","tt0004972","history"
"57","tt0004972","war"
"58","tt0005059","drama"
"59","tt0005059","romance"
"60","tt0005059","war"
"61","tt0005060","drama"
"62","tt0005078","drama"
"63","tt0005084","drama"
"64","tt0005149","drama"
"65","tt0005149","history"
"66","tt0005149","war"
"67","tt0005339","drama"
"68","tt0005529","crime"
"69","tt0005529","drama"
"70","tt0005529","horror"
"71","tt0005557","drama"
"72","tt0005916","drama"
"73","tt0005960","biography"
"74","tt0005960","crime"
"75","tt0005960","drama"
"76","tt0006206","action"
"77","tt0006206","adventure"
"78","tt0006206","crime"
"79","tt0006333","action"
"80","tt0006333","adventure"
"81","tt0006333","sci-fi"
"82","tt0006517","drama"
"83","tt0006589","drama"
"84","tt0006731","crime"
"85","tt0006731","drama"
"86","tt0006745","crime"
"87","tt0006745","drama"
"88","tt0006745","romance"
"89","tt0006753","western"
"90","tt0006780","romance"
"91","tt0006780","western"
"92","tt0006809","comedy"
"93","tt0006826","comedy"
"94","tt0006826","drama"
"95","tt0006826","romance"
"96","tt0006864","drama"
"97","tt0006864","history"
"98","tt0006886","adventure"
"99","tt0006886","crime"
"100","tt0006895","drama"
"101","tt0007183","drama"
"102","tt0007183","fantasy"
"103","tt0007183","horror"
"104","tt0007338","mystery"
"105","tt0007361","fantasy"
"106","tt0007361","romance"
"107","tt0007558","drama"
"108","tt0007610","western"
"109","tt0008329","drama"
"110","tt0008395","biography"
"111","tt0008395","drama"
"112","tt0008395","history"
"113","tt0008443","comedy"
"114","tt0008443","drama"
"115","tt0008443","family"
"116","tt0008536","drama"
"117","tt0008536","horror"
"118","tt0008550","drama"
"119","tt0008634","western"
"120","tt0008663","drama"
"121","tt0008663","war"
"122","tt0008710","drama"
"123","tt0008775","comedy"
"124","tt0008775","romance"
"125","tt0008775","western"
"126","tt0008827","comedy"
"127","tt0008827","romance"
"128","tt0008879","drama"
"129","tt0008891","fantasy"
"130","tt0008950","drama"
"131","tt0009062","comedy"
"132","tt0009369","comedy"
"133","tt0009369","drama"
"134","tt0009440","drama"
"135","tt0009611","comedy"
"136","tt0009611","war"
"137","tt0009652","drama"
"138","tt0009796","drama"
"139","tt0009878","crime"
"140","tt0009878","drama"
"141","tt0009878","history"
"142","tt0009893","comedy"
"143","tt0009937","drama"
"144","tt0009937","romance"
"145","tt0009968","drama"
"146","tt0009968","romance"
"147","tt0009976","drama"
"148","tt0009976","sport"
"149","tt0010040","comedy"
"150","tt0010040","drama"
"151","tt0010060","comedy"
"152","tt0010060","drama"
"153","tt0010071","comedy"
"154","tt0010195","adventure"
"155","tt0010195","drama"
"156","tt0010208","drama"
"157","tt0010247","drama"
"158","tt0010247","history"
"159","tt0010267","comedy"
"160","tt0010281","comedy"
"161","tt0010281","romance"
"162","tt0010307","drama"
"163","tt0010307","horror"
"164","tt0010307","war"
"165","tt0010323","fantasy"
"166","tt0010323","horror"
"167","tt0010323","mystery"
"168","tt0010418","adventure"
"169","tt0010418","drama"
"170","tt0010726","adventure"
"171","tt0010726","western"
"172","tt0010806","comedy"
"173","tt0010806","drama"
"174","tt0010806","romance"
"175","tt0010821","fantasy"
"176","tt0010821","horror"
"177","tt0010821","mystery"
"178","tt0011000","drama"
"179","tt0011130","drama"
"180","tt0011130","horror"
"181","tt0011130","sci-fi"
