"","nconst","primaryName"
"1","nm0000001","fred astaire"
"2","nm0000002","lauren bacall"
"3","nm0000003","brigitte bardot"
"4","nm0000006","ingrid bergman"
"5","nm0000007","humphrey bogart"
"6","nm0000008","marlon brando"
"7","nm0000009","richard burton"
"8","nm0000010","james cagney"
"9","nm0000011","gary cooper"
"10","nm0000012","bette davis"
"11","nm0000013","doris day"
"12","nm0000014","olivia de havilland"
"13","nm0000015","james dean"
"14","nm0000017","marlene dietrich"
"15","nm0000018","kirk douglas"
"16","nm0000019","federico fellini"
"17","nm0000020","henry fonda"
"18","nm0000021","joan fontaine"
"19","nm0000022","clark gable"
"20","nm0000023","judy garland"
"21","nm0000024","john gielgud"
"22","nm0000026","cary grant"
"23","nm0000027","alec guinness"
"24","nm0000028","rita hayworth"
"25","nm0000029","margaux hemingway"
"26","nm0000030","audrey hepburn"
"27","nm0000031","katharine hepburn"
"28","nm0000032","charlton heston"
"29","nm0000034","william holden"
"30","nm0000036","buster keaton"
"31","nm0000037","gene kelly"
"32","nm0000038","grace kelly"
"33","nm0000039","deborah kerr"
"34","nm0000042","alan ladd"
"35","nm0000043","veronica lake"
"36","nm0000044","burt lancaster"
"37","nm0000045","bruce lee"
"38","nm0000046","vivien leigh"
"39","nm0000047","sophia loren"
"40","nm0000048","peter lorre"
"41","nm0000050","groucho marx"
"42","nm0000051","james mason"
"43","nm0000052","marcello mastroianni"
"44","nm0000053","robert mitchum"
"45","nm0000054","marilyn monroe"
"46","nm0000056","paul newman"
"47","nm0000057","david niven"
"48","nm0000058","maureen o'hara"
"49","nm0000059","laurence olivier"
"50","nm0000060","gregory peck"
"51","nm0000061","tyrone power"
"52","nm0000062","elvis presley"
"53","nm0000063","anthony quinn"
"54","nm0000064","edward g. robinson"
"55","nm0000066","jane russell"
"56","nm0000068","randolph scott"
"57","nm0000069","frank sinatra"
"58","nm0000071","james stewart"
"59","nm0000072","elizabeth taylor"
"60","nm0000073","shirley temple"
"61","nm0000074","gene tierney"
"62","nm0000075","spencer tracy"
"63","nm0000076","françois truffaut"
"64","nm0000078","john wayne"
"65","nm0000079","raquel welch"
"66","nm0000080","orson welles"
"67","nm0000081","natalie wood"
"68","nm0000084","li gong"
"69","nm0000086","louis de funès"
"70","nm0000089","richard paul"
"71","nm0000090","armin mueller-stahl"
"72","nm0000092","john cleese"
"73","nm0000093","brad pitt"
"74","nm0000095","woody allen"
"75","nm0000096","gillian anderson"
"76","nm0000097","pamela anderson"
"77","nm0000098","jennifer aniston"
"78","nm0000099","patricia arquette"
"79","nm0000100","rowan atkinson"
"80","nm0000101","dan aykroyd"
"81","nm0000102","kevin bacon"
"82","nm0000103","fairuza balk"
"83","nm0000104","antonio banderas"
"84","nm0000105","adrienne barbeau"
"85","nm0000106","drew barrymore"
"86","nm0000107","kim basinger"
"87","nm0000110","kenneth branagh"
"88","nm0000111","matthew broderick"
"89","nm0000112","pierce brosnan"
"90","nm0000113","sandra bullock"
"91","nm0000114","steve buscemi"
"92","nm0000115","nicolas cage"
"93","nm0000117","neve campbell"
"94","nm0000119","tia carrere"
"95","nm0000120","jim carrey"
