,tconst,averageRating
1,tt0000574,6.3
2,tt0002101,5.1
3,tt0002130,7.1
4,tt0002461,5.6
5,tt0003014,7.2
6,tt0003419,6.6
7,tt0003471,6.1
8,tt0003489,6.2
9,tt0003643,6.9
10,tt0003740,6.8
11,tt0003772,6.6
12,tt0004066,7.1
13,tt0004134,6.6
14,tt0004150,6
15,tt0004181,7.3
16,tt0004465,7.6
17,tt0004635,6.2
18,tt0004707,7.1
19,tt0004712,6.2
20,tt0004873,6.3
21,tt0004972,6.7
22,tt0005059,6.6
23,tt0005060,6.9
24,tt0005078,6.6
25,tt0005084,6.4
26,tt0005149,6.1
27,tt0005339,5.9
28,tt0005529,7.1
29,tt0005557,6.5
30,tt0005916,6.9
31,tt0005960,7
32,tt0006206,6.9
33,tt0006333,7
34,tt0006517,6.2
35,tt0006589,7.2
36,tt0006731,6.5
37,tt0006745,6.5
38,tt0006753,6.8
39,tt0006780,6.8
40,tt0006809,6.2
41,tt0006826,6.7
42,tt0006864,8
43,tt0006886,6.7
44,tt0006895,5.7
45,tt0007183,7.1
46,tt0007338,6.3
47,tt0007361,6.2
48,tt0007558,6.4
49,tt0007610,5.7
50,tt0008329,5.7
51,tt0008395,7.1
52,tt0008443,6.8
53,tt0008536,7.1
54,tt0008550,6.5
55,tt0008634,6.2
56,tt0008663,7.4
57,tt0008710,6.9
58,tt0008775,6.9
59,tt0008827,6.6
60,tt0008879,7.2
61,tt0008891,7
62,tt0008950,6.3
63,tt0009062,6.2
64,tt0009369,7
65,tt0009440,6.6
66,tt0009611,6.9
67,tt0009652,7.4
68,tt0009796,6.6
69,tt0009878,6.9
70,tt0009893,7.2
71,tt0009937,6.9
72,tt0009968,7.6
73,tt0009976,6.5
74,tt0010040,7.5
75,tt0010060,6.8
76,tt0010071,7.7
77,tt0010195,7
78,tt0010208,5.6
79,tt0010247,7.2
80,tt0010267,6.9
81,tt0010281,7.1
82,tt0010307,7.4
83,tt0010323,8.1
84,tt0010418,7.9
85,tt0010726,6.6
86,tt0010806,7.2
87,tt0010821,6.2
88,tt0011000,6.8
89,tt0011130,7
90,tt0011157,6.7
91,tt0011193,6.6
92,tt0011237,7.2
93,tt0011358,6.6
94,tt0011362,7.1
95,tt0011370,7.1
96,tt0011387,6.9
97,tt0011401,6.1
98,tt0011439,7.2
99,tt0011565,7.5
100,tt0011652,6.2
101,tt0011723,6.5
102,tt0011833,7.1
103,tt0011841,7.9
104,tt0011865,7.8
105,tt0011870,6.4
106,tt0011904,6.9
107,tt0011908,6.6
108,tt0011909,7.8
109,tt0011960,7.1
110,tt0011979,6.9
111,tt0012027,6.6
112,tt0012136,7
113,tt0012190,7.9
114,tt0012281,6.8
115,tt0012349,8.3
116,tt0012364,8.1
117,tt0012408,6.7
118,tt0012465,7.2
119,tt0012486,6.1
120,tt0012494,7.7
121,tt0012532,7.8
122,tt0012645,6.9
123,tt0012651,6.3
124,tt0012675,7.2
125,tt0012752,7
126,tt0012763,7.9
127,tt0012881,8.2
128,tt0012938,7.7
129,tt0012952,7.2
130,tt0013059,6.5
131,tt0013075,7.2
132,tt0013086,7.9
133,tt0013134,6.6
134,tt0013140,7.3
135,tt0013201,7.1
136,tt0013367,5.5
137,tt0013372,7.4
138,tt0013386,6.8
139,tt0013427,7.7
140,tt0013442,8
141,tt0013496,7
142,tt0013501,7.1
143,tt0013556,7.6
144,tt0013579,7
145,tt0013597,5.9
146,tt0013626,6.8
147,tt0013662,7.3
148,tt0013674,7.1
149,tt0013688,6.7
150,tt0013741,6.6
151,tt0013802,6.9
152,tt0014029,7.7
153,tt0014142,7.3
154,tt0014341,7.9
155,tt0014358,7.5
156,tt0014417,7.6
157,tt0014429,8.2
158,tt0014440,7.2
159,tt0014446,6.8
160,tt0014497,7.3
161,tt0014524,6.7
162,tt0014532,7
163,tt0014538,7.1
164,tt0014586,6.8
165,tt0014605,7
