,tconst,directors,,,,,,,,,,,,,
1,tt0000574,nm0846879,,,,,,,,,,,,,
2,tt0002101,nm0309130,,,,,,,,,,,,,
3,tt0002130,nm0209738,nm0078205,nm0655824,,,,,,,,,,,
4,tt0002461,nm0130633,nm0443857,,,,,,,,,,,,
5,tt0003014,nm0803705,,,,,,,,,,,,,
6,tt0003419,nm0917467,nm0753233,,,,,,,,,,,,
7,tt0003471,nm0875869,,,,,,,,,,,,,
8,tt0003489,nm0143333,nm0734958,,,,,,,,,,,,
9,tt0003643,nm0000428,,,,,,,,,,,,,
10,tt0003740,nm0665163,,,,,,,,,,,,,
11,tt0003772,nm0456804,,,,,,,,,,,,,
12,tt0004066,nm0159725,,,,,,,,,,,,,
13,tt0004134,nm0916665,,,,,,,,,,,,,
14,tt0004150,nm0193327,,,,,,,,,,,,,
15,tt0004181,nm0000428,,,,,,,,,,,,,
16,tt0004465,nm0533289,nm0309163,,,,,,,,,,,,
17,tt0004635,nm0001124,nm0002177,,,,,,,,,,,,
18,tt0004707,nm0784407,nm0071658,,,,,,,,,,,,
19,tt0004712,nm0002031,,,,,,,,,,,,,
20,tt0004873,nm0950148,,,,,,,,,,,,,
21,tt0004972,nm0000428,,,,,,,,,,,,,
22,tt0005059,nm0001124,,,,,,,,,,,,,
23,tt0005060,nm0001124,,,,,,,,,,,,,
24,tt0005078,nm0001124,,,,,,,,,,,,,
25,tt0005084,nm0172413,,,,,,,,,,,,,
26,tt0005149,nm0054977,nm0408436,,,,,,,,,,,,
27,tt0005339,nm0288616,,,,,,,,,,,,,
28,tt0005529,nm0159725,,,,,,,,,,,,,
29,tt0005557,nm0054977,,,,,,,,,,,,,
30,tt0005916,nm0061955,,,,,,,,,,,,,
31,tt0005960,nm0909825,,,,,,,,,,,,,
32,tt0006206,nm0275421,,,,,,,,,,,,,
33,tt0006333,nm0665737,,,,,,,,,,,,,
34,tt0006517,nm0713787,nm0054977,nm0408436,nm0922304,nm0250445,nm0366689,nm0402489,,,,,,,
35,tt0006589,nm0936767,,,,,,,,,,,,,
36,tt0006731,nm0291387,nm0291548,,,,,,,,,,,,
37,tt0006745,nm0291387,nm0291548,,,,,,,,,,,,
38,tt0006753,nm0245385,,,,,,,,,,,,,
39,tt0006780,nm0842521,nm0807742,nm0366586,,,,,,,,,,,
40,tt0006809,nm0256221,,,,,,,,,,,,,
41,tt0006826,nm0408937,,,,,,,,,,,,,
42,tt0006864,nm0000428,,,,,,,,,,,,,
43,tt0006886,nm0275421,,,,,,,,,,,,,
44,tt0006895,nm0911959,,,,,,,,,,,,,
45,tt0007183,nm0698839,,,,,,,,,,,,,
46,tt0007338,nm0077928,,,,,,,,,,,,,
47,tt0007361,nm0205986,,,,,,,,,,,,,
48,tt0007558,nm0916665,nm0806565,,,,,,,,,,,,
49,tt0007610,nm0049995,,,,,,,,,,,,,
50,tt0008329,nm0730170,,,,,,,,,,,,,
51,tt0008395,nm0698839,nm0901502,,,,,,,,,,,,
52,tt0008443,nm0869665,,,,,,,,,,,,,
53,tt0008536,nm0698839,,,,,,,,,,,,,
54,tt0008550,nm0210352,,,,,,,,,,,,,
55,tt0008634,nm0000406,,,,,,,,,,,,,
56,tt0008663,nm0803705,,,,,,,,,,,,,
57,tt0008710,nm0803705,,,,,,,,,,,,,
58,tt0008775,nm0256221,,,,,,,,,,,,,
59,tt0008827,nm0624714,,,,,,,,,,,,,
60,tt0008879,nm0803705,,,,,,,,,,,,,
61,tt0008891,nm0869665,,,,,,,,,,,,,
62,tt0008950,nm0523932,,,,,,,,,,,,,
63,tt0009062,nm0523932,,,,,,,,,,,,,
64,tt0009369,nm0949648,nm0428059,,,,,,,,,,,,
65,tt0009440,nm0001124,,,,,,,,,,,,,
66,tt0009611,nm0000122,,,,,,,,,,,,,
67,tt0009652,nm0624714,,,,,,,,,,,,,
68,tt0009796,nm0001124,,,,,,,,,,,,,
69,tt0009878,nm0652650,,,,,,,,,,,,,
70,tt0009893,nm0523932,,,,,,,,,,,,,
71,tt0009937,nm0002233,,,,,,,,,,,,,
72,tt0009968,nm0000428,,,,,,,,,,,,,
73,tt0009976,nm0832584,,,,,,,,,,,,,
74,tt0010040,nm0624714,,,,,,,,,,,,,
75,tt0010060,nm0502752,,,,,,,,,,,,,
76,tt0010071,nm0001124,,,,,,,,,,,,,
77,tt0010195,nm0929649,,,,,,,,,,,,,
78,tt0010208,nm0000485,,,,,,,,,,,,,
79,tt0010247,nm0830249,,,,,,,,,,,,,
80,tt0010267,nm0291548,,,,,,,,,,,,,
81,tt0010281,nm0523932,,,,,,,,,,,,,
82,tt0010307,nm0304098,,,,,,,,,,,,,
83,tt0010323,nm0927468,,,,,,,,,,,,,
84,tt0010418,nm0001124,,,,,,,,,,,,,
85,tt0010726,nm0000485,,,,,,,,,,,,,
86,tt0010806,nm0000428,,,,,,,,,,,,,
87,tt0010821,nm0652650,,,,,,,,,,,,,
88,tt0011000,nm0003433,,,,,,,,,,,,,
89,tt0011130,nm0731910,,,,,,,,,,,,,
90,tt0011157,nm0830249,,,,,,,,,,,,,
91,tt0011193,nm0189076,,,,,,,,,,,,,
92,tt0011237,nm0091380,nm0917467,,,,,,,,,,,,
93,tt0011358,nm0000406,,,,,,,,,,,,,
94,tt0011362,nm0803705,,,,,,,,,,,,,
95,tt0011370,nm0803705,,,,,,,,,,,,,
96,tt0011387,nm0113284,nm0869665,,,,,,,,,,,,
97,tt0011401,nm0376221,,,,,,,,,,,,,
98,tt0011439,nm0629243,,,,,,,,,,,,,
99,tt0011565,nm0941637,,,,,,,,,,,,,
100,tt0011652,nm0085133,nm0810367,,,,,,,,,,,,
101,tt0011723,nm0000485,,,,,,,,,,,,,
102,tt0011833,nm0552609,,,,,,,,,,,,,
103,tt0011841,nm0000428,,,,,,,,,,,,,
104,tt0011865,nm0001124,,,,,,,,,,,,,
105,tt0011870,nm0584778,,,,,,,,,,,,,
106,tt0011904,nm0941637,,,,,,,,,,,,,
107,tt0011908,nm0384616,nm0796657,,,,,,,,,,,,
108,tt0011909,nm0001124,,,,,,,,,,,,,
109,tt0011960,nm0523932,,,,,,,,,,,,,
110,tt0011979,nm0916665,,,,,,,,,,,,,
111,tt0012027,nm0806605,,,,,,,,,,,,,
112,tt0012136,nm0897085,,,,,,,,,,,,,
113,tt0012190,nm0002271,,,,,,,,,,,,,
114,tt0012281,nm0501902,nm0422226,,,,,,,,,,,,
115,tt0012349,nm0000122,,,,,,,,,,,,,
116,tt0012364,nm0803705,,,,,,,,,,,,,
117,tt0012408,nm0547966,,,,,,,,,,,,,
118,tt0012465,nm0210352,,,,,,,,,,,,,
119,tt0012486,nm0042317,nm0373511,,,,,,,,,,,,
120,tt0012494,nm0000485,,,,,,,,,,,,,
121,tt0012532,nm0000428,,,,,,,,,,,,,
122,tt0012645,nm0118266,,,,,,,,,,,,,
123,tt0012651,nm0003638,,,,,,,,,,,,,
124,tt0012675,nm0577654,,,,,,,,,,,,,
125,tt0012752,nm0629243,,,,,,,,,,,,,
126,tt0012763,nm0454771,,,,,,,,,,,,,
127,tt0012881,nm0384616,,,,,,,,,,,,,
128,tt0012938,nm0939992,,,,,,,,,,,,,
129,tt0012952,nm0629243,nm0002188,,,,,,,,,,,,
130,tt0013059,nm0003433,,,,,,,,,,,,,
131,tt0013075,nm0628345,nm0853130,,,,,,,,,,,,
132,tt0013086,nm0000485,,,,,,,,,,,,,
133,tt0013134,nm0191899,,,,,,,,,,,,,
134,tt0013140,nm0002233,,,,,,,,,,,,,
135,tt0013201,nm0628345,,,,,,,,,,,,,
136,tt0013367,nm0454535,,,,,,,,,,,,,
137,tt0013372,nm0001124,,,,,,,,,,,,,
138,tt0013386,nm0002233,nm0432216,,,,,,,,,,,,
139,tt0013427,nm0280904,,,,,,,,,,,,,
140,tt0013442,nm0003638,,,,,,,,,,,,,
141,tt0013496,nm0003638,,,,,,,,,,,,,
142,tt0013501,nm0762780,,,,,,,,,,,,,
143,tt0013556,nm0245385,,,,,,,,,,,,,
144,tt0013579,nm0733208,,,,,,,,,,,,,
145,tt0013597,nm0662032,,,,,,,,,,,,,
146,tt0013626,nm0241273,,,,,,,,,,,,,
147,tt0013662,nm0731910,,,,,,,,,,,,,
148,tt0013674,nm0511729,,,,,,,,,,,,,
149,tt0013688,nm0291387,,,,,,,,,,,,,
150,tt0013741,nm0523932,,,,,,,,,,,,,
151,tt0013802,nm0005847,,,,,,,,,,,,,
152,tt0014029,nm0428059,,,,,,,,,,,,,
153,tt0014142,nm0941637,,,,,,,,,,,,,
154,tt0014341,nm0090007,nm0000036,,,,,,,,,,,,
155,tt0014358,nm0000122,,,,,,,,,,,,,
156,tt0014417,nm0304098,,,,,,,,,,,,,
157,tt0014429,nm0628345,nm0853130,,,,,,,,,,,,
158,tt0014440,nm0002271,,,,,,,,,,,,,
159,tt0014446,nm0655065,,,,,,,,,,,,,
160,tt0014497,nm0400912,,,,,,,,,,,,,
161,tt0014524,nm0681726,,,,,,,,,,,,,
162,tt0014532,nm0001124,,,,,,,,,,,,,
163,tt0014538,nm0000036,nm0166836,,,,,,,,,,,,
164,tt0014586,nm0501902,nm0083532,,,,,,,,,,,,
165,tt0014605,nm0454771,,,,,,,,,,,,,
166,tt0014611,nm0628345,nm0853130,,,,,,,,,,,,
167,tt0014624,nm0000122,,,,,,,,,,,,,
168,tt0014646,nm0698839,,,,,,,,,,,,,
169,tt0014672,nm0000428,,,,,,,,,,,,,
170,tt0014702,nm0064600,,,,,,,,,,,,,
171,tt0014760,nm0166836,,,,,,,,,,,,,
172,tt0014770,nm0600580,,,,,,,,,,,,,
173,tt0014900,nm0003638,,,,,,,,,,,,,
174,tt0014945,nm0628345,nm0853130,,,,,,,,,,,,
175,tt0014972,nm0803705,,,,,,,,,,,,,
176,tt0015002,nm0628345,nm0853130,,,,,,,,,,,,
177,tt0015014,nm0478303,,,,,,,,,,,,,
178,tt0015016,nm0000406,,,,,,,,,,,,,
179,tt0015036,nm0901502,,,,,,,,,,,,,
180,tt0015039,nm0895048,,,,,,,,,,,,,
181,tt0015064,nm0003638,,,,,,,,,,,,,
182,tt0015119,nm0523932,,,,,,,,,,,,,
183,tt0015136,nm0003433,,,,,,,,,,,,,
184,tt0015152,nm0882795,,,,,,,,,,,,,
185,tt0015163,nm0000036,nm0187981,,,,,,,,,,,,
186,tt0015167,nm0474487,,,,,,,,,,,,,
187,tt0015174,nm0000485,,,,,,,,,,,,,
188,tt0015175,nm0000485,,,,,,,,,,,,,
189,tt0015202,nm0927468,,,,,,,,,,,,,
