,tconst,ordering,nconst,category
1,tt0000574,1,nm0846887,actress
2,tt0000574,2,nm0846894,actor
3,tt0000574,3,nm3002376,actor
4,tt0000574,4,nm0170118,actress
5,tt0002101,10,nm0906610,actor
6,tt0002101,1,nm0306947,actress
7,tt0002101,2,nm0801774,actress
8,tt0002101,3,nm0276160,actress
9,tt0002101,4,nm0733482,actress
10,tt0002101,7,nm0182557,actress
11,tt0002101,8,nm1950505,actor
12,tt0002101,9,nm0397513,actor
13,tt0002130,1,nm0660139,actor
14,tt0002130,2,nm0685283,actor
15,tt0002130,3,nm0209738,actor
16,tt0002130,4,nm3942815,actor
17,tt0002461,1,nm0312600,actor
18,tt0002461,2,nm0911963,actor
19,tt0002461,3,nm0306817,actor
20,tt0002461,4,nm0443857,actor
21,tt0003014,10,nm0526234,actor
22,tt0003014,1,nm0096737,actress
23,tt0003014,2,nm0511806,actor
24,tt0003014,3,nm0511903,actor
25,tt0003014,4,nm0344981,actor
26,tt0003014,9,nm0489296,actor
27,tt0003419,1,nm0917467,actor
28,tt0003419,2,nm0074186,actress
29,tt0003419,3,nm0758802,actress
30,tt0003419,4,nm0332024,actor
31,tt0003471,1,nm0301187,actress
32,tt0003471,2,nm0334873,actress
33,tt0003471,3,nm0877941,actor
34,tt0003471,4,nm0601596,actor
35,tt0003489,1,nm0624446,actress
36,tt0003489,2,nm1204409,actress
37,tt0003489,3,nm0824971,actor
38,tt0003489,4,nm0342541,actor
39,tt0003643,10,nm0073239,actor
40,tt0003643,1,nm0910400,actor
41,tt0003643,2,nm0014894,actor
42,tt0003643,3,nm0842239,actress
43,tt0003643,4,nm0797094,actor
44,tt0003643,7,nm0507635,actor
45,tt0003643,8,nm0550615,actress
46,tt0003643,9,nm0366008,actor
47,tt0003740,1,nm0021935,actress
48,tt0003740,2,nm0702894,actress
49,tt0003740,3,nm0656034,actor
50,tt0003740,4,nm0146028,actress
51,tt0003772,10,nm0532996,actor
52,tt0003772,1,nm0681933,actress
53,tt0003772,2,nm0601698,actor
54,tt0003772,3,nm0894679,actress
55,tt0003772,4,nm0933448,actress
56,tt0003772,7,nm0138822,actress
57,tt0003772,8,nm0174485,actor
58,tt0003772,9,nm0545147,actress
59,tt0004066,10,nm0517327,actor
60,tt0004066,1,nm0159725,actor
61,tt0004066,2,nm0143865,actress
62,tt0004066,3,nm0718290,actor
63,tt0004066,4,nm0483943,actor
64,tt0004066,7,nm0526126,actress
65,tt0004066,8,nm0819077,actor
66,tt0004066,9,nm0819072,actor
67,tt0004134,10,nm0139683,actress
68,tt0004134,1,nm0285202,actor
69,tt0004134,2,nm0824332,actress
70,tt0004134,3,nm0822059,actor
71,tt0004134,4,nm0268422,actress
72,tt0004134,8,nm0077320,actor
73,tt0004134,9,nm0086461,actor
74,tt0004150,10,nm6500440,actor
75,tt0004150,1,nm6500432,actor
76,tt0004150,2,nm6500433,actress
77,tt0004150,3,nm6500434,actress
78,tt0004150,4,nm6500435,actor
79,tt0004150,6,nm6500436,actor
80,tt0004150,7,nm6500437,actor
81,tt0004150,8,nm6500438,actress
82,tt0004150,9,nm6500439,actor
83,tt0004181,1,nm0842239,actress
84,tt0004181,2,nm0910400,actor
85,tt0004181,3,nm0550615,actress
86,tt0004181,4,nm0366008,actor
87,tt0004465,1,nm0925310,actress
88,tt0004465,2,nm0928108,actor
89,tt0004465,3,nm0659947,actor
90,tt0004465,4,nm0430968,actor
91,tt0004635,1,nm0267914,actor
92,tt0004635,2,nm0758457,actor
93,tt0004635,3,nm0455612,actress
94,tt0004635,4,nm0277317,actress
95,tt0004707,1,nm0000122,actor
96,tt0004707,2,nm0237597,actress
97,tt0004707,3,nm0635667,actress
98,tt0004707,4,nm0841501,actor
99,tt0004712,10,nm1094006,actor
100,tt0004712,1,nm0075410,actress
101,tt0004712,2,nm0889511,actor
102,tt0004712,3,nm0433425,actress
103,tt0004712,4,nm1100459,actor
104,tt0004873,1,nm0767931,actress
105,tt0004873,2,nm0723440,actor
106,tt0004873,3,nm6706959,actor
107,tt0004873,4,nm6706958,actor
108,tt0004873,7,nm6706957,actor
109,tt0004972,1,nm0001273,actress
110,tt0004972,2,nm0550615,actress
111,tt0004972,3,nm0910400,actor
112,tt0004972,4,nm0178270,actress
113,tt0005059,1,nm0842239,actress
114,tt0005059,2,nm0676473,actor
115,tt0005059,3,nm0911560,actor
116,tt0005059,4,nm0676613,actor
117,tt0005060,1,nm0268125,actress
118,tt0005060,2,nm0717468,actor
119,tt0005060,3,nm0003124,actor
120,tt0005060,4,nm0139356,actor
121,tt0005078,1,nm0911531,actress
122,tt0005078,2,nm0370564,actor
123,tt0005078,3,nm0212797,actor
124,tt0005078,4,nm0624735,actor
125,tt0005084,1,nm0199087,actress
126,tt0005084,2,nm0175231,actor
127,tt0005084,3,nm0086748,actor
128,tt0005084,4,nm0335584,actress
129,tt0005149,1,nm0444641,actor
130,tt0005149,2,nm0712776,actor
131,tt0005149,3,nm0163255,actress
132,tt0005149,4,nm0317098,actress
133,tt0005339,10,nm0000847,actress
134,tt0005339,1,nm0388209,actress
135,tt0005339,2,nm0294289,actress
136,tt0005339,3,nm0430968,actor
137,tt0005339,4,nm0021471,actress
138,tt0005339,9,nm0115446,actor
139,tt0005529,10,nm0630927,actress
140,tt0005529,1,nm0159725,actor
141,tt0005529,2,nm0143865,actress
142,tt0005529,3,nm0280765,actor
143,tt0005529,4,nm0929066,actor
144,tt0005529,7,nm0423854,actress
145,tt0005529,8,nm0412274,actor
146,tt0005529,9,nm0772788,actor
147,tt0005557,1,nm0064819,actor
148,tt0005557,2,nm0930290,actress
